# 1  Loci_20 Loci_12 
     Theta(M, F)  COUNT   AVG_LR MAX_HLOD     R2 ALPHA    DGF     MF PEN_DD PEN_Dd PEN_dd 
(0.1900, 0.1900)  21560   0.9166   0.4780 0.0000  1.00 0.7000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.2000, 0.2000)  21560   0.9288   0.4872 0.0000  1.00 0.7000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.2100, 0.2100)  21560   0.9399   0.4925 0.0000  1.00 0.5000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.2200, 0.2200)  21560   0.9501   0.4942 0.0000  1.00 0.5000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.2300, 0.2300)  21560   0.9593   0.4922 0.0000  1.00 0.5000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.2400, 0.2400)  21560   0.9675   0.4867 0.0000  1.00 0.5000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.2500, 0.2500)  21560   0.9748   0.4780 0.0000  1.00 0.5000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.2600, 0.2600)  21560   0.9812   0.4665 0.0000  1.00 0.5000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.2700, 0.2700)  21560   0.9867   0.4523 0.0000  1.00 0.5000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.2800, 0.2800)  21560   0.9914   0.4358 0.0000  1.00 0.5000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.2900, 0.2900)  21560   0.9954   0.4171 0.0000  1.00 0.5000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.3000, 0.3000)  21560   0.9986   0.3965 0.0000  1.00 0.5000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.3100, 0.3100)  21560   1.0012   0.3742 0.0000  1.00 0.5000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.3200, 0.3200)  21560   1.0032   0.3505 0.0000  1.00 0.5000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.3300, 0.3300)  21560   1.0047   0.3256 0.0000  1.00 0.5000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
(0.3400, 0.3400)  21560   1.0057   0.2999 0.0000  1.00 0.5000 0.2787  3.000 3.000 -1.000  0.707 0.707 0.707  0.000 
